value,synthetic_class
attenuated adenomatous polyposis coli,SpecificDisease
attenuated familial adenomatous polyposis,SpecificDisease
attenuated polyposis,Modifer
auditory anomalies,DiseaseClass
autism,SpecificDisease
autistic,Modifer
autoimmune chronic active hepatitis,SpecificDisease
autoimmune disorders,DiseaseClass
autoimmune lymphoproliferative syndrome,SpecificDisease
"autoimmune lymphoproliferative syndrome, type Ia",SpecificDisease
autoimmune manifestations,DiseaseClass
autosomal codominant disorder,DiseaseClass
autosomal dominant bone disorder,DiseaseClass
autosomal dominant clefting condition,DiseaseClass
autosomal dominant condition,DiseaseClass
autosomal dominant congenital disorder of the eye,DiseaseClass
autosomal dominant craniofacial disorder,DiseaseClass
autosomal dominant disease,DiseaseClass
autosomal dominant disorde,DiseaseClass
autosomal dominant disorder,DiseaseClass
autosomal dominant epilepsy syndrome,DiseaseClass
autosomal dominant genetic disorder,DiseaseClass
autosomal dominant keratitis,SpecificDisease
autosomal dominant multisystem disorder,DiseaseClass
autosomal dominant myotonia congenita,SpecificDisease
autosomal dominant neurodegenerative disorder,DiseaseClass
autosomal dominant neurohypophyseal diabetes insipidus,SpecificDisease
autosomal dominant nocturnal frontal lobe epilepsy,SpecificDisease
autosomal dominant retinitis pigmentosa,SpecificDisease
autosomal dominant syndrome,DiseaseClass
autosomal dominantly inherited cancer syndrome,DiseaseClass
autosomal recessive Alport syndrome,SpecificDisease
autosomal recessive ataxia,DiseaseClass
autosomal recessive cardiodegenerative and neurodegenerative disease,DiseaseClass
autosomal recessive degenerative disorder,DiseaseClass
autosomal recessive disease,DiseaseClass
autosomal recessive disease glucose/galactose malabsorption,SpecificDisease
autosomal recessive disorder,DiseaseClass
autosomal recessive disorder of human galactose metabolism,DiseaseClass
autosomal recessive genetic disorder,DiseaseClass
autosomal recessive human genetic disorder,DiseaseClass
autosomal recessive leukodystrophy,DiseaseClass
autosomal recessive lysosomal storage disorder,DiseaseClass
autosomal recessive neurodegenerative disease,DiseaseClass
autosomal recessive neurodegenerative disorder,DiseaseClass
autosomal recessive non-syndromic hearing loss,SpecificDisease
autosomal recessive syndrome,DiseaseClass
"autosomal, recessive disorder",DiseaseClass
autossomal recessive disorder,DiseaseClass
bacteremic infections due to Neisseria,DiseaseClass
bacteremic neisseria infections,SpecificDisease
bacterial infections,DiseaseClass
bacterial meningitis,SpecificDisease
"bacterial, especially neisserial, infections",DiseaseClass
basal cell carcinoma,SpecificDisease
behavioral abnormalities,DiseaseClass
benign colorectal tumors,SpecificDisease
benign familial infantile convulsions syndrome,SpecificDisease
benign familial neonatal convulsions,SpecificDisease
benign neuromuscular disorder,DiseaseClass
benign tumors,DiseaseClass
beta-glucuronidase deficiency,SpecificDisease
bifid uvula,SpecificDisease
bilateral and multi-centric hemangioblastoma,CompositeMention
bilateral and multifocal tumours,CompositeMention
bilateral and unilateral retinoblastoma,CompositeMention
bilateral lamellar cataracts,SpecificDisease
bilateral retinoblastoma,SpecificDisease
bilateral sporadic aniridia,SpecificDisease
bipolar affective disorder,SpecificDisease
bipolar disorder,SpecificDisease
bladder symptoms,DiseaseClass
blindness,DiseaseClass
blistering,SpecificDisease
bone and soft tissue tumors,CompositeMention
bone dysplasia,DiseaseClass
brachycephaly,SpecificDisease
brain abnormalities,DiseaseClass
brain disease,DiseaseClass
brain hemangioblastomas,SpecificDisease
"brain, breast, and prostate cancer",CompositeMention
breast and 79 ovarian cancer,Modifer
breast and breast-ovarian cancer,Modifer
breast and ovarian cancer,CompositeMention
breast and ovarian cancers,CompositeMention
breast and ovarian carcinomas,CompositeMention
breast and ovarian tumors,CompositeMention
breast and prostate cancer,CompositeMention
breast and squamous cell neoplasms,CompositeMention
breast and/or ovarian cancer,CompositeMention
breast cancer,SpecificDisease
breast cancers,SpecificDisease
breast carcinoma,SpecificDisease
breast carcinomas,SpecificDisease
breast disease,DiseaseClass
breast malignancies,SpecificDisease
breast or ovarian cancer,CompositeMention
breast to ovarian cancer,Modifer
breast tumour,Modifer
"breast, ovarian, or other cancers",CompositeMention
breast-ovarian cancer,Modifer
breast-ovarian cancer syndrome,DiseaseClass
breast-ovarian cancer-family syndrome,SpecificDisease
breast-ovarian syndrome,SpecificDisease
breast-ovary cancer,Modifer
breast-ovary cancer-family syndrome,SpecificDisease
breast/ovarian cancer,Modifer
brittle nails with prominent longitudinal grooves,SpecificDisease
broad great toes,SpecificDisease
bronchial asthma,SpecificDisease
campomelia,SpecificDisease
campomelic-metaphyseal skeletal dysplasia,SpecificDisease
cancer,DiseaseClass
cancer of the breast and ovaries,CompositeMention
cancer of the fallopian tube,SpecificDisease
cancer predisposition,DiseaseClass
cancer-associated diseases,DiseaseClass
cancer-prone,DiseaseClass
cancers,DiseaseClass
carcinoma,DiseaseClass
carcinoma in situ,DiseaseClass
carcinoma of the rectum,SpecificDisease
carcinomas,DiseaseClass
carcinosarcoma,SpecificDisease
cardiac abnormalities,DiseaseClass
cardiac abnormality,DiseaseClass
cardiac arrest,SpecificDisease
cardiac arrhythmia,DiseaseClass
cardiac conduction abnormalities,DiseaseClass
cardiac conduction block,SpecificDisease
cardiac conduction defects,DiseaseClass
cardiac conduction disorders,DiseaseClass
cardiac defects,DiseaseClass
cardiac disease,DiseaseClass
cardiac involvement,DiseaseClass
cardiomyopathy,SpecificDisease
cardiovascular disease,SpecificDisease
cartilage-hair hypoplasia,SpecificDisease
cat eye syndrome,SpecificDisease
cat-eye syndrome,SpecificDisease
cataract,Modifer
cataractous,Modifer
cataracts,SpecificDisease
central nervous system defects,DiseaseClass
central nervous system hemangioblastoma,SpecificDisease
central nervous system symptoms,DiseaseClass
central scotoma,SpecificDisease
centrocytic lymphoma,DiseaseClass
centrocytic lymphomas,DiseaseClass
cerebellar ataxia,SpecificDisease
cerebellar ataxia type I,DiseaseClass
cerebellar ataxias type I,DiseaseClass
cerebellar degeneration,DiseaseClass
cerebellar dysfunction,DiseaseClass
cerebellar haemangioblastoma,SpecificDisease
cerebral ALD,SpecificDisease
cerebral atrophy,SpecificDisease
cerebral dysfunction,DiseaseClass
cerebrotendinous xanthomatosis,SpecificDisease
childhood cerebral ALD,SpecificDisease
childhood tumor,DiseaseClass
childhood-onset obesity,DiseaseClass
chloride channel disorder,DiseaseClass
cholesterol acyltransferase deficiency,SpecificDisease
cholesteryl ester transfer protein (CETP) deficiency,SpecificDisease
cholesteryl ester transfer protein deficiency,SpecificDisease
chondrodysplasia,DiseaseClass
chondrodysplasias,DiseaseClass
chondrodystrophic myotonia,SpecificDisease
choreic movement,DiseaseClass
choriocapillaris of the macula,SpecificDisease
chorioretinal dystrophy,DiseaseClass
choroid plexus carcinomas,SpecificDisease
choroideremia,Modifer
chroeoathetosis,SpecificDisease
chromosomal abnormalities,DiseaseClass
chromosomal fragmentation during meiosis,SpecificDisease
chromosomal instability,DiseaseClass
chromosome 15 anomaly,SpecificDisease
chromosome abnormalities,DiseaseClass
chromosome instability,DiseaseClass
chronic arthritis,SpecificDisease
chronic discoid lupus erythematosus,SpecificDisease
chronic hemolytic anemia,SpecificDisease
chronic lymphocytic leukemia,SpecificDisease
chronic meningococcemia,SpecificDisease
chronic myelopathy,DiseaseClass
chronic nonspherocytic hemolytic anemia,SpecificDisease
chylomicronemia,SpecificDisease
cirrhosis,SpecificDisease
cirrhotic liver disease,DiseaseClass
classic LCAT deficiency,SpecificDisease
classic galactosemia,Modifer
classical and Duarte galactosemia,CompositeMention
classical galactosemia,SpecificDisease
classical phenylketonuria,SpecificDisease
clear-cell renal cell carcinoma,SpecificDisease
cleft lip,SpecificDisease
cleft lip and/or palate,Modifer
cleft lip/palate,CompositeMention
cleft palate,SpecificDisease
clefts,DiseaseClass
clefts to the lip and/or palate,CompositeMention
clinical abnormalities,DiseaseClass
clinodactyly,SpecificDisease
clonal malignancy,DiseaseClass
club foot,SpecificDisease
cognitive dysfunction,DiseaseClass
cognitive impairment,DiseaseClass
colon and some other cancers,CompositeMention
colon cancers,DiseaseClass
colon carcinoma,Modifer
colon or lung cancer,Modifer
colonic adenomas,SpecificDisease
colonic polyps,DiseaseClass
color vision anomalies,DiseaseClass
colorectal,Modifer
colorectal adenomas,SpecificDisease
colorectal adenomas and carcinoma,CompositeMention
colorectal adenomas and/or carcinoma,CompositeMention
colorectal and other cancers,DiseaseClass
colorectal cancer,SpecificDisease
"colorectal cancer,",SpecificDisease
colorectal cancers,SpecificDisease
colorectal carcinoma,SpecificDisease
colorectal carcinomas,SpecificDisease
colorectal neoplasia,SpecificDisease
colorectal polyps,SpecificDisease
colorectal tumor,Modifer
colorectal tumors,SpecificDisease
"colorectal, breast and other cancers",CompositeMention
"colorectal, endometrial, and ovarian cancers",CompositeMention
"colorectal, or other, cancers",CompositeMention
combined subtotal deficiencies of C6 and C7,SpecificDisease
complement C7 deficiency,SpecificDisease
complement C9 deficiency,SpecificDisease
complement component C6 deficiency,SpecificDisease
complement defect,DiseaseClass
complement deficiencies (C2 and C7),CompositeMention
complement deficiency,DiseaseClass
complement deficient,Modifer
complement factor 2 (C2) deficiency,SpecificDisease
complete C9 deficiency,SpecificDisease
complete deficiency of C9,SpecificDisease
complete deficiency of hypoxanthine guanine phosphoribosyltransferase,SpecificDisease
complete deficiency of the C9 component,SpecificDisease
complete or partial LCAT deficiency,CompositeMention
completely deficient in the seventh component of complement,SpecificDisease
complex glycerol kinase deficiency,SpecificDisease
cone dysfunction,DiseaseClass
congenital DM,SpecificDisease
congenital X-linked thrombocytopenia,SpecificDisease
congenital absence of the iris,SpecificDisease
congenital adrenal hypoplasia,SpecificDisease
congenital afibrinogenemia,SpecificDisease
congenital anomaly disorders,DiseaseClass
congenital blindness,SpecificDisease
congenital cataract,SpecificDisease
congenital cataracts,SpecificDisease
congenital chloride diarrhea,Modifer
congenital complement deficiencies,DiseaseClass
congenital deafness,SpecificDisease
congenital deficiency of the C9 component of complement,SpecificDisease
congenital disease,DiseaseClass
congenital eye malformations,DiseaseClass
congenital hearing loss,SpecificDisease
congenital hemolytic anemia,SpecificDisease
congenital hypertrophy of the retinal pigment epithelium,SpecificDisease
congenital hypomyelinating neuropathy,SpecificDisease
congenital hypothyroidism,SpecificDisease
congenital immunodeficiency syndrome,DiseaseClass
congenital joint contractures,SpecificDisease
congenital long-QT syndrome,SpecificDisease
congenital malformation of the eye,DiseaseClass
congenital myotonic dystrophy,SpecificDisease
congenital nonspherocytic hemolytic anemia,SpecificDisease
congenital nystagmus,SpecificDisease
congenital sensorineural hearing loss,SpecificDisease
congenital thrombocytopenia,SpecificDisease
conotruncal cardiac malformations,SpecificDisease
contiguous gene defects,DiseaseClass
contiguous gene syndrome,DiseaseClass
contractures,SpecificDisease
contractures of the Achilles tendons,DiseaseClass
contractures of the elbows,DiseaseClass
"contractures of the elbows, Achilles tendons and postcervical muscles",CompositeMention
"contractures of the elbows, Achilles tendons and spine",CompositeMention
convulsive disorders,DiseaseClass
copper deficiency,SpecificDisease
copper deficient,DiseaseClass
copper overload,SpecificDisease
copper toxicity disorder,DiseaseClass
copper toxicosis,Modifer
corneal arcus,SpecificDisease
corneal dystrophy,SpecificDisease
corneal opacity,SpecificDisease
coronal craniosynostosis,SpecificDisease
coronal synostosis,SpecificDisease
coronary heart disease,SpecificDisease
coronary vascular disease,DiseaseClass
cortical and total cataracts,CompositeMention
craniofacial abnormalities,DiseaseClass
craniofacial and central nervous system defects,CompositeMention
craniofrontonasal dysplasia,SpecificDisease
craniosynostosis,SpecificDisease
craniosynostotic condition,DiseaseClass
cryptorchidism,SpecificDisease
cutaneous vasculitis,SpecificDisease
cystadenomas of the epididymis,SpecificDisease
cystic kidney disease,DiseaseClass
"cysts in the kidney, pancreas, and epididymis",CompositeMention
cytomegalovirus,SpecificDisease
deafness,SpecificDisease
decreased synthesis of C3,DiseaseClass
defect in secretion of complement C5,SpecificDisease
defect of the anterior midline scalp,DiseaseClass
defective formation of type II collagen,DiseaseClass
defective renal tubular function,DiseaseClass
defects in the PROS1 gene,SpecificDisease
deficiencies of complement components,DiseaseClass
deficiencies of protein S,SpecificDisease
deficiency in N-acetylgalactosamine-6-sulfatase,SpecificDisease
deficiency in the cytosolic liver-type arginase enzyme,DiseaseClass
deficiency in the human complement regulatory protein Factor H,SpecificDisease
deficiency in the sterol 27-hydroxylase activity,SpecificDisease
deficiency of AAT,SpecificDisease
deficiency of APRT,SpecificDisease
deficiency of ASPA,SpecificDisease
deficiency of C3,SpecificDisease
deficiency of C5,SpecificDisease
deficiency of C7,SpecificDisease
deficiency of DPD,SpecificDisease
deficiency of G6PD,SpecificDisease
deficiency of N -acetylgalactosamine-6-sulfate sulfatase,SpecificDisease
"deficiency of a hepatic enzyme, phenylalanine hydroxylase",SpecificDisease
deficiency of acid beta-galactosidase,SpecificDisease
deficiency of active AVP,DiseaseClass
deficiency of apoB-100,SpecificDisease
deficiency of arylsulfatase A,SpecificDisease
deficiency of aspartoacylase,SpecificDisease
deficiency of aspartylglucosaminidase,SpecificDisease
deficiency of beta-glucocerebrosidase,SpecificDisease
deficiency of complement protein C2,SpecificDisease
deficiency of coproporphyrinogen oxidase,SpecificDisease
deficiency of emerin,SpecificDisease
deficiency of fatty alcohol  NAD + oxidoreductase,SpecificDisease
deficiency of glycosyl phosphatidylinositol (GPI) -anchored proteins,DiseaseClass
deficiency of hepatic fructokinase,SpecificDisease
deficiency of hepatic phenylalanine hydroxylase,SpecificDisease
deficiency of hex A,SpecificDisease
deficiency of hypoxanthine-guanine phosphoribosyltransferase,SpecificDisease
deficiency of mitochondrial very-long-chain acyl-CoA dehydrogenase,SpecificDisease
deficiency of norrin,DiseaseClass
deficiency of the enzyme aspartylglucosaminidase,SpecificDisease
deficiency of the enzyme galactose-1-phosphate uridyl transferase,SpecificDisease
deficiency of the enzyme phenylalanine hydroxylase,SpecificDisease
deficiency of the fifth (C5) component of complement1-3,SpecificDisease
deficiency of the fifth component of complement,SpecificDisease
deficiency of the hepatic enzyme phenylalanine hydroxylase,SpecificDisease
deficiency of the hormone arginine vasopressin,DiseaseClass
deficiency of the lysosomal enzyme aspartylglucosaminidase,SpecificDisease
deficiency of the ninth component of complement,SpecificDisease
deficiency of the normal VLCAD protein,SpecificDisease
deficiency of the second component of complement,SpecificDisease
deficiency of the seventh component of complement,SpecificDisease
deficiency of the sixth component of complement,SpecificDisease
deficiency of the third component of complement,SpecificDisease
deficient G6PD,Modifer
deficient activity of coproporphyrinogen III oxidase,SpecificDisease
deficient activity of fatty aldehyde dehydrogenase,SpecificDisease
deficient for C5,SpecificDisease
deficient in BRCA1,Modifer
deficient in Hex A,SpecificDisease
deficient in Six5,SpecificDisease
deficient in glucose-6-phosphate dehydrogenase,SpecificDisease
deficient in the seventh component of complement,SpecificDisease
deficit of myelin,DiseaseClass
degeneration and premature cell death of oligodendrocytes,CompositeMention
degeneration of certain brain areas,DiseaseClass
dehydration,SpecificDisease
dementia,DiseaseClass
demyelination,DiseaseClass
demyelination in the central and peripheral nervous system,DiseaseClass
demyelination of the central nervous system,DiseaseClass
demyelination of the cerebral white matter,DiseaseClass
dental abnormalities,DiseaseClass
dentatorubropallidoluysian atrophy,SpecificDisease
depression,SpecificDisease
der () syndrome,SpecificDisease
dermatofibrosarcoma protuberans,Modifer
desmoid tumor,SpecificDisease
desmoid tumors,SpecificDisease
desmoplastic small round cell tumors,DiseaseClass
desmoplastic small round cell tumour,SpecificDisease
developmental abnormalities,DiseaseClass
developmental abnormalities of the cochlea,DiseaseClass
developmental abnormalities of the eye,DiseaseClass
developmental defects,DiseaseClass
developmental delay,DiseaseClass
developmental delays,DiseaseClass
developmental disorder,DiseaseClass
diabetes,DiseaseClass
diabetes insipidus,DiseaseClass
diabetes mellitus,SpecificDisease
diarrhea,SpecificDisease
diarrhoea,SpecificDisease
diastrophic dysplasia,SpecificDisease
dietary iron deficiency,SpecificDisease
diffuse mesangial sclerosis,SpecificDisease
diffuse thyroid enlargement,SpecificDisease
dihydropyrimidine dehydrogenase deficiency,SpecificDisease
diminished GALC activity,DiseaseClass
discoid lupus erythematosus,SpecificDisease
disorder of amino acid metabolism,DiseaseClass
disorder of glycoprotein metabolism,DiseaseClass
disorder of inappropriate apoptosis,DiseaseClass
disorder of lymphocyte homeostasis and immunological tolerance,CompositeMention
displaced pupils,SpecificDisease
disseminated gonococcal infection,SpecificDisease
dominant myotonias,DiseaseClass
dominant non-dystrophic myotonias,DiseaseClass
dominantly inherited disease,DiseaseClass
dominantly inherited neurodegeneration,DiseaseClass
dopa-responsive dystonia,SpecificDisease
double layered patella,DiseaseClass
ductal carcinomas,SpecificDisease
dying-back axonopathy,SpecificDisease
dysarthric speech,SpecificDisease
dyshormonogenic goiter,SpecificDisease
dysmorphic features,DiseaseClass
dysmyelinating disorder,DiseaseClass
dystonia,DiseaseClass
dystonias 1-12,CompositeMention
dystonic,Modifer
dystrophia myotonica,SpecificDisease
dystrophic,Modifer
dystrophic process,DiseaseClass
dystrophic syndrome,SpecificDisease
dystrophin deficiency,SpecificDisease
dystrophinopathy,DiseaseClass
early death,SpecificDisease
ease of fatigue,DiseaseClass
ectopia pupillae,SpecificDisease
ectopic intracranial retinoblastoma,SpecificDisease
eczema,DiseaseClass
elbow contractures,SpecificDisease
embryonic lethality,SpecificDisease
emphysema,DiseaseClass
encephalopathy,DiseaseClass
endocrinologic dysfunction,DiseaseClass
endolymphatic sac tumors,DiseaseClass
endometrial cancer,SpecificDisease
endometrial carcinoma,Modifer
endometrial carcinomas,SpecificDisease
enlarged vestibular aqueduct,SpecificDisease
entero-arthropathy,SpecificDisease
enzyme deficiency,DiseaseClass
enzyme deficiency in G6PD,SpecificDisease
enzymopathy,DiseaseClass
ependymomas,SpecificDisease
epidermoid cysts,SpecificDisease
epididymal cystadenomas,DiseaseClass
episodic ataxia type 2,SpecificDisease
episodic hemolytic anemia,SpecificDisease
erythema of the facial skin,SpecificDisease
erythrocytic G6PD deficiency,SpecificDisease
esophageal cancers,SpecificDisease
essential fructosuria,SpecificDisease
estrogen receptor-positive breast carcinomas,SpecificDisease
excess iron deposits,DiseaseClass
excessive alcohol consumption,SpecificDisease
exencephalus,SpecificDisease
extensor plantar responses,DiseaseClass
exudative retinal detachment,DiseaseClass
eye abnormalities,DiseaseClass
eye anomalies,DiseaseClass
facial angiofibromas,SpecificDisease
facial asymmetry,SpecificDisease
facial lesions,DiseaseClass
"facial, limb and genital abnormalities",CompositeMention
faciogenital dysplasia,SpecificDisease
factor X deficiency,SpecificDisease
familial APC,SpecificDisease
familial Mediterranean fever,SpecificDisease
familial Paget disease of bone,SpecificDisease
familial adenomatous polyposis,SpecificDisease
familial adenomatous polyposis coli,SpecificDisease
familial adenomatous polyposis syndrome,SpecificDisease
familial amyloidotic polyneuropathy,SpecificDisease
familial and sporadic cancers,CompositeMention
familial aniridia,Modifer
familial breast and ovarian cancer,CompositeMention
familial breast and ovarian cancers,CompositeMention
familial breast cancer,SpecificDisease
familial breast/ovarian cancer,CompositeMention
familial disorder,DiseaseClass
familial expansile osteolysis,SpecificDisease
familial foveal dysplasia,SpecificDisease
familial gastric cancer,SpecificDisease
familial hemiplegic migraine,SpecificDisease
familial hypertrophic cardiomyopathy,SpecificDisease
familial mediterranean fever,SpecificDisease
familial melanoma,SpecificDisease
familial neurohypophyseal diabetes insipidus,SpecificDisease
familial or sporadic bilateral retinoblastoma,CompositeMention
familial polyposis,Modifer
familial polyposis APC,Modifer
familial polyposis coli,SpecificDisease
familial tumors,DiseaseClass
fat-cell tumours,DiseaseClass
fatal hemolysis,SpecificDisease
fatal lymphoreticular disease,DiseaseClass
favism,SpecificDisease
fever,DiseaseClass
fibre degeneration,SpecificDisease
fibroepithelial or epithelial hyperplasias,CompositeMention
fibrosis,SpecificDisease
fish-eye disease,SpecificDisease
fistulae,SpecificDisease
focal dystonia,SpecificDisease
foot deformity,DiseaseClass
foveal hypoplasia,SpecificDisease
fragile X,Modifer
fragile X mental retardation,Modifer
fragile X syndrome,SpecificDisease
frontonasal dysplasia,SpecificDisease
fructosuria,DiseaseClass
fundus flavimaculatus,SpecificDisease
galactosemia,Modifer
galactosemic,Modifer
gastric and colorectal cancer,CompositeMention
gastric and colorectal cancers,CompositeMention
gastric cancer,SpecificDisease
gastric cancers,SpecificDisease
gastrulation defect,SpecificDisease
gaze-evoked nystagmus,SpecificDisease
gene defects,DiseaseClass
generalized epilepsy and febrile seizures   plus  ,SpecificDisease
genetic abnormalities,DiseaseClass
genetic abnormality,DiseaseClass
genetic bleeding disorders,DiseaseClass
genetic defect,DiseaseClass
genetic defects,DiseaseClass
genetic deficiency,Modifer
genetic disease,DiseaseClass
genetic diseases,DiseaseClass
genetic disorder,DiseaseClass
genetic disorders,DiseaseClass
genetic lesions,DiseaseClass
genital abnormalities,DiseaseClass
genital anomalies,DiseaseClass
genitourinary abnormalities,DiseaseClass
giant cell fibroblastoma,SpecificDisease
gingival overgrowths,SpecificDisease
glaucoma,SpecificDisease
glial cell death,SpecificDisease
glioblastoma,Modifer
glioblastomas,SpecificDisease
glioma,SpecificDisease
gliomas,SpecificDisease
glomerular basement membrane abnormalities,DiseaseClass
glomerulonephritis,SpecificDisease
glomerulosclerosis,SpecificDisease
glucose 6 phosphate dehydrogenase (G6PD) deficiency,SpecificDisease
glucose 6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease
glucose-6-phosphate dehydrogenase (G6PD) -deficient,Modifer
glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease
glucose-6-phosphate dehydrogenase deficiency,SpecificDisease
glucose/galactose malabsorption,Modifer
glycerol kinase deficiency,DiseaseClass
goiter,SpecificDisease
goitre,SpecificDisease
golden retriever muscular dystrophy,SpecificDisease
gonadal anomaly,DiseaseClass
gonadal hypoplasia,SpecificDisease
gonadotropin deficiency,SpecificDisease
gonococcal infection,SpecificDisease
gouty arthritis,SpecificDisease
granulocyte dysfunction,DiseaseClass
growth hormone (GH) deficiency,SpecificDisease
growth retardation,DiseaseClass
haemangioblastoma,SpecificDisease
haematuria,SpecificDisease
haemoglobinuria,SpecificDisease
haemolysis,SpecificDisease
haemolytic attack,SpecificDisease
haemolytic attacks,DiseaseClass
haemorrhagic condition,DiseaseClass
haemostasis abnormality,DiseaseClass
hamartoma syndromes,DiseaseClass
haploinsufficiency of PAX6,SpecificDisease
hearing impairment,DiseaseClass
hearing loss,DiseaseClass
hemangioblastomas,DiseaseClass
hematologic disease,DiseaseClass
hematologic malignancy,DiseaseClass
hematologic neoplasms,DiseaseClass
hematological malignancies,DiseaseClass
hematological malignancy,DiseaseClass
hematopoietic and solid tumors,CompositeMention
hematuric glomerulonephritis,SpecificDisease
hemochromatosis,Modifer
hemolysis,SpecificDisease
hemolytic anemia,SpecificDisease
hemolytic crisis,DiseaseClass
hemolytic uremic syndrome,SpecificDisease
hemophagocytosis,DiseaseClass
hemophilia,SpecificDisease
hemophilia A,SpecificDisease
hemophilia B,Modifer
hemostatic abnormalities,DiseaseClass
hepatic and neuro-logical abnormalities,CompositeMention
hepatic cirrhosis,SpecificDisease
hepatic copper accumulation,SpecificDisease
hepatic encephalopathy,SpecificDisease
hepatic fibrosis,DiseaseClass
hepatic porphyria,SpecificDisease
hepatoblastoma,SpecificDisease
hepatoblastomas,SpecificDisease
hepatoma,Modifer
hepatomegaly,DiseaseClass
hereditary adenomatous polyposis of the colon,SpecificDisease
hereditary and non hereditary retinoblastoma,CompositeMention
hereditary breast and ovarian cancer,Modifer
hereditary breast and ovarian cancer syndrome,CompositeMention
hereditary breast and/or ovarian cancer,CompositeMention
hereditary breast cancer,SpecificDisease
hereditary breast cancers,SpecificDisease
hereditary breast or ovarian cancer,CompositeMention
hereditary breast-ovarian cancer,DiseaseClass
hereditary breast-ovarian cancer syndrome,DiseaseClass
hereditary cancer,DiseaseClass
hereditary cancers,DiseaseClass
hereditary colorectal cancer syndrome,SpecificDisease
hereditary coproporphyria,Modifer
hereditary deafness,SpecificDisease
hereditary deficiency of the fifth component of complement,SpecificDisease
hereditary disease,DiseaseClass
hereditary forms of ovarian cancer,SpecificDisease
hereditary glucose/galactose malabsorption,SpecificDisease
hereditary hemochromatosis,SpecificDisease
hereditary hemochromatotic,Modifer
hereditary human breast and ovarian cancer,CompositeMention
hereditary multisystemic disease,DiseaseClass
hereditary non-polyposis cancer syndrome,SpecificDisease
hereditary non-polyposis colorectal cancer,Modifer
hereditary non-spherocytic hemolytic anemia,SpecificDisease
hereditary nonpolyposis colorectal cancer,Modifer
hereditary nonspherocytic hemolytic anemia,SpecificDisease
hereditary or non hereditary retinoblastoma,CompositeMention
hereditary ovarian cancer,SpecificDisease
hereditary ovarian cancers,SpecificDisease
hereditary progressive dystonia,SpecificDisease
hereditary prostate cancer,SpecificDisease
hereditary retinoblastoma,SpecificDisease
hereditary retinopathies,DiseaseClass
hereditary tumor syndrome,DiseaseClass
hereditary tumours,DiseaseClass
hex A deficiency,SpecificDisease
hexosaminidase A deficiency,SpecificDisease
high myopia,SpecificDisease
high-arched palate,SpecificDisease
hip dysplasia,SpecificDisease
histidinemia,SpecificDisease
hitch hiker thumb,DiseaseClass
homozygous hypobetalipoproteinemia,SpecificDisease
human immunodeficiency virus,SpecificDisease
hydrocephalus,SpecificDisease
hyperalphalipoproteinemia,SpecificDisease
hyperalphalipoproteinemic,Modifer
hyperbilirubinaemia,DiseaseClass
hypercholesterolemia,SpecificDisease
hyperglycerolemia,SpecificDisease
hyperinsulinaemia,SpecificDisease
hyperkeratosis,SpecificDisease
hyperlipoproteinemia,SpecificDisease
hypermetria,SpecificDisease
hyperparathyroidism and jaw tumor syndrome,SpecificDisease
hyperphagia,SpecificDisease
hyperphenylalaninemia,DiseaseClass
hyperphenylalaninemias,DiseaseClass
hyperphenylalaninemic,Modifer
hypersensitivity to ionizing radiation,DiseaseClass
hypersensitivity to oxidative stress,SpecificDisease
hypertelorism,SpecificDisease
hyperthermia,SpecificDisease
hypertriglyceridemia,SpecificDisease
hypertrophic cardiomyopathy,SpecificDisease
hyperuricemia,SpecificDisease
hypobetalipoproteinemia,SpecificDisease
hypodontia,SpecificDisease
hypohaptoglobinemia,SpecificDisease
hypohaptoglobinemic,Modifer
hypoimmunoglobulinemia,DiseaseClass
hypomania,SpecificDisease
hypomyelination,SpecificDisease
hypomyelination of the PNS,DiseaseClass
hypopigmentation,DiseaseClass
hypopigmented,Modifer
hypothalamic abnormalities,DiseaseClass
hypotonia,DiseaseClass
hypotonic,SpecificDisease
hypoxanthine phosphoribosyltransferase [HPRT] deficiency,SpecificDisease
ichthyosis,DiseaseClass
idiopathic dilated cardiomyopathy,SpecificDisease
idiopathic epilepsies,DiseaseClass
idiopathic torsion dystonia,SpecificDisease
idiopathic ventricular fibrillation,SpecificDisease
iminodipeptiduria,SpecificDisease
immune defects,DiseaseClass
immune deficiencies,DiseaseClass
immune deficiency,DiseaseClass
immune-complex disease,DiseaseClass
immunodeficiency,DiseaseClass
immunodeficiency disease,DiseaseClass
immunoglobulin deficiency,SpecificDisease
immunologic abnormalities,DiseaseClass
immunological abnormalities,DiseaseClass
impaired function of adrenal cortex and testes,CompositeMention
impaired glucose tolerance,SpecificDisease
impaired proprioception,DiseaseClass
impairment of cellular immunity,DiseaseClass
impairment of very long chain fatty acids beta-oxidation,DiseaseClass
in-born error of metabolism,DiseaseClass
inborn error of amino-acid metabolism,DiseaseClass
inborn error of metabolism,DiseaseClass
inborn errors of metabolism,DiseaseClass
inborn errors of myelin metabolism,DiseaseClass
inborn peroxisomal disease,DiseaseClass
increased bone remodelling,SpecificDisease
infantile Refsum disease,SpecificDisease
"infantile form of G (M2) gangliosidosis, Type 1",SpecificDisease
infantile hypotonia,SpecificDisease
infectious diseases,DiseaseClass
infertility,SpecificDisease
inflammatory bowel disease,SpecificDisease
